EDA_ID,Year,Month,Deployment,Station,Project,Latitude,Longitude,Depth_m,Equipment make_model_serial,Hydrophone make_model_serial,Dataset timezone,Recording schedule,In-water_start,In-water_end,Dataset notes
174,2023,1,ChebH-2023-01,ChebH: Chebucto Head Revision 1 (Current),OPP-MEQ Coastal Monitoring,44.494800,-63.497700,63.800000,Ocean Instruments SoundTrap ST300 - 5941 - None,----,UTC,SoundTrap 30/30 : 1800,2023-01-12 12:24:00,2023-03-21 12:43:00,Note that for some reason the recordings stopped very shortly after recovery and resumed off-schedule about 7 minutes later. Occurred after recovery so this should not affect the in-water data.
177,2023,8,CBN-2023-08,CBN: Cape Breton North Revision 1 (Current),North Atlantic Right Whale Research Program,47.163700,-60.394100,183.000000,Ocean Instruments SoundTrap ST600-HF - 7533 - None,----,NA,NA,NA,NA,NA
178,2023,8,CSW-2023-08,CSW: Cabot Strait West Revision 1 (Current),North Atlantic Right Whale Research Program,47.378500,-60.299800,118.000000,JASCO AMAR G4-PVC-2X-6.5 - 684 - 6038232,GeoSpectrum M36-V35-100 - F000421 - None,NA,NA,NA,NA,NA
179,2023,8,CS1-2023-08,CS1: Cabot Strait 1 Revision 1 (Current),North Atlantic Right Whale Research Program,47.434700,-60.053500,460.000000,Ocean Instruments SoundTrap ST600-HF - 7526 - None,----,NA,NA,NA,NA,NA
180,2023,8,CS2-2023-08,CS2: Cabot Strait 2 Revision 1 (Current),North Atlantic Right Whale Research Program,47.490100,-59.806100,504.000000,JASCO AMAR G4-UD - 533 - 6038051,GeoSpectrum M36-V35-100 - B000876 - None,NA,NA,NA,NA,NA
181,2023,8,CS3-2023-08,CS3: Cabot Strait 3 Revision 1 (Current),North Atlantic Right Whale Research Program,47.545200,-59.561100,476.000000,Ocean Instruments SoundTrap ST600-HF - 7528 - None,----,NA,NA,NA,NA,NA
182,2023,8,GMB-2023-08,GMB: Grand Manan Basin Revision 1 (Current),North Atlantic Right Whale Research Program,44.673000,-66.530900,181.000000,Ocean Instruments SoundTrap ST600-HF - 7574 - None,----,NA,NA,NA,NA,NA
183,2023,8,ROBP-2023-08,ROBP: Roseway Basin P Revision 1 (Current),North Atlantic Right Whale Research Program,42.849400,-65.313900,147.000000,JASCO G4-UD-2channel - 774 - None,High Tech Inc HTI-99-UHF - 776091 - None,NA,NA,NA,NA,NA
184,2023,8,MGL-2023-08,MGL: Mid-Gully Canyon Revision 2 (Current),Cetacean Monitoring: Marine Spatial Planning Priorities,43.863500,-58.911500,1640.000000,JASCO AMAR G4A-AL-4X - 672 - 6038231,GeoSpectrum M36-V35-100 - F000422 - None,NA,NA,NA,NA,NA
185,2023,8,MBK-2023-08,MBK: Misaine Bank Revision 1 (Current),Cetacean Monitoring: Marine Spatial Planning Priorities,45.143600,-59.715500,108.000000,JASCO AMAR G4-UD - 703 - None,GeoSpectrum M36-V35-100 - F000267 - None,NA,NA,NA,NA,NA
186,2023,8,FCM-2023-08,FCM: Fundian Channel - Mid Revision 1 (Current),Cetacean Monitoring: Marine Spatial Planning Priorities,41.769700,-65.575500,1432.000000,JASCO AMAR G4-UD - 702 - None,GeoSpectrum M36-V35-100 - A002371 - None,NA,NA,NA,NA,NA
187,2023,8,MLC-2023-08,MLC: Mid-Laurentian Channel Revision 1 (Current),Cetacean Monitoring: Species at Risk Priorities,45.438000,-57.828800,202.000000,Ocean Instruments SoundTrap ST600-HF - 7569 - None,----,NA,NA,NA,NA,NA
188,2023,8,CSE-2023-08,CSE: Cabot Strait East Revision 1 (Past),North Atlantic Right Whale Research Program,47.590100,-59.313200,189.000000,JASCO AMAR G4-PVC-2X-6.5 - 668 - 6038191,----,NA,NA,NA,NA,NA
189,2023,9,CSE-2023-09,CSE: Cabot Strait East Revision 2 (Current),North Atlantic Right Whale Research Program,47.599100,-59.328200,182.000000,JASCO AMAR G4-PVC-2X-6.5 - 668 - 6038191,----,NA,NA,NA,NA,NA
89,2022,9,ROBV-2022-09,ROBV: Roseway Basin VLA Revision 1 (Current),OPP-MEQ Science,42.908700,-65.314500,155.000000,JASCO AMAR G4-2x-PVC-4channel - 771 - None,Geospectrum M15-D35-360 - F000148 - None,NA,NA,NA,NA,NA
90,2022,9,FCD-2022-09,FCD: Fundian Channel Deep Revision 1 (Current),Cetacean Monitoring: Marine Spatial Planning Priorities,41.508200,-65.416800,2320.000000,JASCO G4-UD-2channel - 773 - None,GeoSpectrum M36-D35-100 - F000099 - None,NA,NA,NA,NA,NA
91,2022,9,CCU-2022-09,CCU: Corsair Canyon-Upper Revision 1 (Current),Cetacean Monitoring: Marine Spatial Planning Priorities,41.344800,-66.149700,700.000000,JASCO AMAR G3A-AL-4X - 143 - None,GeoSpectrum M36-V35-100 - F000268 - None,NA,NA,NA,NA,NA
92,2022,10,CBN-2022-10,CBN: Cape Breton North Revision 1 (Current),OPP-Whale Detection and Collision Avoidance,47.161900,-60.393000,180.000000,JASCO AMAR G4-2x-PVC-4channel - 819 - None,Geospectrum M15-D35-360 - F000123 - None,NA,NA,NA,NA,NA
93,2022,10,CSW-2022-10,CSW: Cabot Strait West Revision 1 (Current),OPP-Whale Detection and Collision Avoidance,47.378300,-60.298500,120.000000,JASCO AMAR G4-PVC-2X-6.5-M20 - 712 - 6040231,GeoSpectrum M20-105 - E000090 - None,NA,NA,NA,NA,NA
94,2022,10,CS1-2022-10,CS1: Cabot Strait 1 Revision 1 (Current),OPP-Whale Detection and Collision Avoidance,47.434500,-60.053200,490.100000,JASCO AMAR G4-UD - 663 - 6038213,GeoSpectrum M36-V35-100 - D000893 - None,NA,NA,NA,NA,NA
95,2022,10,CS2-2022-10,CS2: Cabot Strait 2 Revision 1 (Current),OPP-Whale Detection and Collision Avoidance,47.489900,-59.805800,513.000000,JASCO AMAR G4-UD - 377 - 6038210,GeoSpectrum M36-V35-100 - D000581 - None,NA,NA,NA,NA,NA
96,2022,10,CS3-2022-10,CS3: Cabot Strait 3 Revision 1 (Current),OPP-Whale Detection and Collision Avoidance,47.545300,-59.560800,469.000000,JASCO AMAR G4-UD - 664 - 6038212,GeoSpectrum M36-V35-100 - F000420 - None,NA,NA,NA,NA,NA
97,2022,10,GMB-2022-10,GMB: Grand Manan Basin Revision 1 (Current),OPP-MEQ Science,44.673000,-66.531100,183.000000,JASCO AMAR G3-PVC-2X - 388 - None,High Tech Inc HTI-99-HF - 776040 - None,NA,NA,NA,NA,NA
98,2022,10,ELC-2022-10,ELC: East Laurentian Channel Revision 1 (Current),Cetacean Monitoring: Species at Risk Priorities,44.736500,-55.922100,1504.500000,JASCO AMAR G4-UD - 376 - 6038211,GeoSpectrum M36-V35-100 - 003655 - None,NA,NA,NA,NA,NA
99,2022,10,MGE-2022-10,MGE: Mid-Gully East Revision 1 (Current),Cetacean Monitoring: Marine Spatial Planning Priorities,43.839100,-58.821800,1173.900000,JASCO AMAR G4A-AL-4X - 673 - None,----,NA,NA,NA,NA,NA
100,2022,10,GDSE-2022-10,GDSE: Gully Deep Southeast Revision 1 (Current),Cetacean Monitoring: Marine Spatial Planning Priorities,43.718000,-58.722100,2437.300000,JASCO AMAR G4-UD - 538 - 6038052,GeoSpectrum M36-V35-100 - C000044 - None,NA,NA,NA,NA,NA
101,2022,10,SABW-2022-10,SABW: St. Ann's Bank West Revision 1 (Current),Cetacean Monitoring: Marine Spatial Planning Priorities,45.975400,-59.422300,71.000000,JASCO AMAR G3A-AL-4X - 197 - None,GeoSpectrum M36-V35-100 - F000269 - None,UTC,AMAR_G3_RS05 : 900,2022-10-16 16:08:00,2023-08-17 16:53:00,
102,2022,10,CSE-2022-10,CSE: Cabot Strait East Revision 1 (Past),OPP-Whale Detection and Collision Avoidance,47.590000,-59.311800,192.000000,Ocean Instruments SoundTrap ST600-STD - 6767 - None,----,NA,NA,NA,NA,NA
107,2022,10,SBVC1-2022-10,SBVC1: Sambro Bank Vazella Closure Site 1 Revision 1 (Current),Kenchington PAM Landers,43.887700,-63.098600,156.000000,Ocean Instruments SoundTrap ST4300 - 6062 - None,----,NA,NA,NA,NA,NA
115,2022,4,ChebH-2022-04,ChebH: Chebucto Head Revision 1 (Current),OPP-MEQ Coastal Monitoring,44.494667,-63.498000,64.000000,Ocean Instruments SoundTrap ST300 - 5941 - None,----,UTC,SoundTrap 30/30 : 1800,2022-04-06 15:23:00,2022-06-06 12:40:00,
116,2022,9,ChebH-2022-09,ChebH: Chebucto Head Revision 1 (Current),OPP-MEQ Coastal Monitoring,44.494833,-63.497667,61.000000,Ocean Instruments SoundTrap ST300 - 671379496 - None,----,UTC,SoundTrap 30/30 : 1800,2022-09-06 13:36:00,2022-10-24 14:45:00,
117,2022,10,ChebH-2022-10,ChebH: Chebucto Head Revision 1 (Current),OPP-MEQ Coastal Monitoring,44.494833,-63.497667,,Ocean Instruments SoundTrap ST300 - 6365 - None,----,UTC,SoundTrap 30/30 : 1800,2022-10-24 15:35:00,2022-12-22 12:40:00,"Buoy was set to release Jan 5 2023, but we recovered it Dec 22 2022. Did not redeploy as the rope got caught in the prop."
118,2022,10,GLNE-2022-10,GLNE: Gully Lander Northeast Revision 1 (Current),Kenchington PAM Landers,43.960300,-58.947800,336.000000,Ocean Instruments SoundTrap ST500 - 5470 - None,----,NA,NA,NA,NA,NA
119,2022,10,GLSW-2022-10,GLSW: Gully Lander Southwest Revision 1 (Current),Kenchington PAM Landers,43.955400,-58.944700,327.000000,JASCO AMAR G4-2x-PVC-4channel - 772 - None,----,NA,NA,NA,NA,NA
131,2022,6,ChebH-2022-06,ChebH: Chebucto Head Revision 1 (Current),OPP-MEQ Coastal Monitoring,44.494450,-63.498437,63.000000,Ocean Instruments SoundTrap ST600 - 6085 - None,----,UTC,SoundTrap 30/30 : 1800,2022-06-06 13:15:00,2022-09-06 12:50:00,"This SoundTrap was recovered at 13:40 UTC and re-deployed at 14:26 UTC on July 5th, 2022 after changing the Fiobuoy battery. Coordinates were 44.49483333, -63.49766667. The dataset is stored as Jun 6 2020 to Sep 6 2022."
139,2022,4,INGO-2022-04,INGO: Ingonish Revision 1 (Current),OPP-MEQ Coastal Monitoring,46.659583,-60.322600,57.400000,Ocean Instruments SoundTrap ST300 - 5955 - None,----,UTC,SoundTrap 30/30 : 1800,2022-04-22 13:54:00,2022-06-28 11:55:00,
140,2022,6,INGO-2022-06,INGO: Ingonish Revision 1 (Current),OPP-MEQ Coastal Monitoring,46.659633,-60.320150,57.100000,Ocean Instruments SoundTrap ST300 - 6365 - None,----,UTC,SoundTrap 30/30 : 1800,2022-06-28 10:00:02,2022-09-07 13:47:00,
142,2022,9,INGO-2022-09,INGO: Ingonish Revision 1 (Current),OPP-MEQ Coastal Monitoring,46.659650,-60.320900,55.400000,Ocean Instruments SoundTrap ST300 - 5955 - None,----,UTC,SoundTrap 30/30 : 1800,2022-09-07 13:52:00,2022-11-11 13:06:00,"Buoy popped on Nov 9, but recovery was delayed due to high winds"
143,2022,5,CapAug-2022-05,CapAug: Cap Auget Revision 1 (Current),OPP-MEQ Coastal Monitoring,45.462750,-61.046167,52.100000,Ocean Instruments SoundTrap ST300 - 671379496 - None,----,UTC,SoundTrap 30/30 : 1800,2022-05-19 12:30:00,2022-07-20 12:00:00,
144,2022,7,CapAug-2022-07,CapAug: Cap Auget Revision 1 (Current),OPP-MEQ Coastal Monitoring,45.462750,-61.046167,53.000000,Ocean Instruments SoundTrap ST300 - 6368 - None,----,UTC,SoundTrap 30/30 : 1800,2022-07-20 12:20:00,2022-09-13 14:30:00,
145,2022,9,CapAug-2022-09,CapAug: Cap Auget Revision 1 (Current),OPP-MEQ Coastal Monitoring,45.462750,-61.046167,53.000000,Ocean Instruments SoundTrap ST300 - 5941 - None,----,UTC,SoundTrap 30/30 : 1800,2022-09-13 14:30:00,2022-11-11 13:15:00,"Buoy popped on Nov 1, but RCIFA (Jordan) was out of town and then there were high winds. Recovery took place on Nov 11."
159,2022,4,ESI-2022-04,ESI: Eastern Shore Islands Revision 1 (Current),OPP-MEQ Coastal Monitoring,44.769833,-62.428050,45.700000,Ocean Instruments SoundTrap ST500 - 5512 - None,----,UTC,SoundTrap 30/30 : 1800,2022-04-16 12:10:00,2022-07-23 14:35:00,
160,2022,7,ESI-2022-07,ESI: Eastern Shore Islands Revision 1 (Current),OPP-MEQ Coastal Monitoring,44.769833,-62.428050,45.700000,Ocean Instruments SoundTrap ST600 - 6492 - None,----,UTC,SoundTrap 30/30 : 1800,2022-07-23 14:45:00,2022-10-22 14:05:00,
168,2022,3,ChedB-2022-03,ChedB: Chedabucto Bay Revision 1 (Current),OPP-MEQ Coastal Monitoring,,,,Ocean Instruments SoundTrap ST300 - 6365 - None,----,UTC,SoundTrap 30/30 : 1800,2022-03-16 11:35:00,2022-05-29 18:35:00,
169,2022,5,ChedB-2022-05,ChedB: Chedabucto Bay Revision 1 (Current),OPP-MEQ Coastal Monitoring,,,,Ocean Instruments SoundTrap ST600 - 6990 - None,----,UTC,SoundTrap 30/30 : 1800,2022-05-29 18:45:00,2022-10-04 None,End time missing from data sheet
170,2022,10,ChedB-2022-10,ChedB: Chedabucto Bay Revision 1 (Current),OPP-MEQ Coastal Monitoring,,,,Ocean Instruments SoundTrap ST300 - 6368 - None,----,UTC,SoundTrap 30/30 : 1800,2022-10-05 13:40:00,2022-12-12 15:40:00,
74,2021,8,EFC-2021-08,EFC: East of Fundian Channel Revision 1 (Current),Cetacean Monitoring: Species at Risk Priorities,42.442700,-64.455400,1487.000000,JASCO AMAR G4A-AL-4X - 672 - 6038231,GeoSpectrum M36-V35-100 - F000422 - None,UTC,AMAR_G4_RS04 : 900,2021-08-20 20:17:00,2022-08-13 12:16:42,Card 18 was not read by the AMAR during deployment. AMAR would have been able to record for additional 3-4 weeks if all cards were present
75,2021,9,MBK-2021-09,MBK: Misaine Bank Revision 1 (Current),Cetacean Monitoring: Species at Risk Priorities,45.143300,-59.715300,114.000000,JASCO AMAR G4-UD - 703 - None,GeoSpectrum M36-V35-100 - F000267 - None,UTC,AMAR_G4_RS04 : 900,2021-09-02 09:50:00,2022-09-14 00:35:37,
76,2021,8,SFD-2021-08,SFD: Stone Fence Deep Revision 1 (Current),Cetacean Monitoring: Species at Risk Priorities,44.259800,-57.293200,1531.000000,JASCO AMAR G4-UD - 702 - None,GeoSpectrum M36-V35-100 - A002371 - None,UTC,AMAR_G4_RS04 : 900,2021-08-31 13:01:00,2022-09-12 03:25:35,
77,2021,8,COC-2021-08,COC: Corsair Canyon Revision 1 (Current),Cetacean Monitoring: Marine Spatial Planning Priorities,41.258000,-66.042300,1346.000000,JASCO AMAR G4-UD - 533 - 6038051,GeoSpectrum M36-V35-100 - B000876 - None,UTC,AMAR_G4_RS04 : 900,2021-08-21 19:08:00,2022-09-02 07:43:15,
78,2021,8,MGL-2021-08,MGL: Mid-Gully Canyon Revision 2 (Current),Cetacean Monitoring: Marine Spatial Planning Priorities,43.863400,-58.910300,1585.000000,JASCO AMAR G3A-AL-4X - 192 - 6038031,GeoSpectrum M36-V35-100 - B002485 - None,UTC,AMAR_G3_RS05 : 900,2021-08-29 13:47:00,2022-10-01 02:07:14,
79,2021,8,FCM-2021-08,FCM: Fundian Channel - Mid Revision 1 (Current),Cetacean Monitoring: Marine Spatial Planning Priorities,41.770700,-65.575700,1432.000000,JASCO G4-UD-2channel - 774 - None,High Tech Inc HTI-99-UHF - 776091 - None,UTC,AMAR_G4_RS07 : 1800,2021-08-21 13:29:00,2022-09-12 18:03:00,Two-channel .wav files
80,2021,9,SAB-2021-09,SAB: St. Ann's Bank Revision 1 (Current),Cetacean Monitoring: Species at Risk Priorities,46.304700,-58.874500,336.000000,JASCO AMAR G3A-AL-4X - 127 - 6038029,GeoSpectrum M36-V35-100 - B002487 - None,UTC,AMAR_G3_RS05 : 900,2021-09-01 11:11:00,2022-10-03 23:32:43,
81,2021,4,GMB-2021-04,GMB: Grand Manan Basin Revision 1 (Current),OPP-MEQ Science,44.697900,-66.530200,192.000000,JASCO AMAR G3-PVC-2X - 387 - 6020276,GeoSpectrum M36-V35-100 - D000580 - None,UTC,AMAR_G3_RS07 : 1200,2021-04-11 15:41:00,2021-08-23 09:21:00,
82,2021,4,ROBV-2021-04_4CH,ROBV: Roseway Basin VLA Revision 1 (Current),OPP-MEQ Science,42.909500,-65.314100,157.000000,JASCO AMAR G4-2x-PVC-4channel - 771 - None,Geospectrum M15-D35-360 - F000148 - None,UTC,AMAR_G4_RS05 : 1200,2021-04-10 13:58:00,2021-08-19 17:55:00,
83,2021,8,GMB-2021-08,GMB: Grand Manan Basin Revision 1 (Current),OPP-MEQ Science,44.692300,-66.531400,172.000000,JASCO AMAR G4-PVC-2X-6.5 - 668 - 6038191,----,UTC,AMAR_G3_RS08 : 1800,2021-08-23 22:09:00,2022-09-15 10:43:18,"Low frequency data intact and complete.

High frequency data kept failing to download, suspect bad memory module.

 Issues with hi-freq data begins after AMAR668.9.20220704T164318Z.wav and continuous intermittently to AMAR668.9.20220720T124318Z.wav.

 Data fragments moved into ""Corrupted"" folder on NAS copy of dataset."
84,2021,8,ROBV-2021-08_VLA,ROBV: Roseway Basin VLA Revision 1 (Current),OPP-MEQ Science,42.908700,-65.315000,159.000000,JASCO AMAR G4D-AL-2X-VLA - 728 - 6038262,----,UTC,AMAR_G4_VLA_RS02 : 1200,2021-08-19 19:47:00,2022-06-29 11:36:47,8 hydrophone VLA was hit and dragged during deployment. Array was destroyed. Last files available for HF were recorded on 29-06-2022 and last files available for LF were recorded on 01-07-2022. Data is corrupted after 20220629T113647Z.
85,2021,8,ROBE-2021-08,ROBE: Roseway Basin Echosounder Revision 1 (Current),OPP-MEQ Science,42.915600,-65.321900,156.000000,Ocean Instruments SoundTrap ST500 - 5352 - None,----,NA,NA,NA,NA,NA
86,2021,8,EMBD-2021-08,EMBD: Emerald Basin Deep Revision 1 (Current),OPP-MEQ Science,43.608500,-62.868600,204.000000,JASCO AMAR G4-PVC-2X-6.5 - 684 - 6038232,GeoSpectrum M36-V35-100 - F000421 - None,UTC,AMAR_G4_RS08 : 900,2021-08-26 13:31:00,2022-09-13 17:40:00,"AMAR 684 timing was off in the low frequency data. The are 11 instances of the AMAR starting a file late and three instances of AMAR starting a file early. Please see report in ""\\142.2.83.52\whalenas4\MOORED_PAM_DATA\2021\08\EMBD_2021_08\QAQC_results\QAQC_results_EMBD_2021_08_AMAR684.1.64000.txt"" for details.
Timing was also off in HF data 14 times, which resulted in 3 short intervals in the low frequency data. Check firmware version on AMAR 684.
NAS location: \\142.2.83.52\whalenas4\MOORED_PAM_DATA\2021\08\EMBD_2021_08."
87,2021,9,SBVC3-2021-09,SBVC3: Sambro Bank Vazella Closure Site 3 Revision 1 (Current),Kenchington PAM Landers,43.914480,-63.057330,221.870000,JASCO AMAR G4-2x-PVC-4channel - 772 - None,----,UTC,AMAR_G4_RS09 : 900,2021-09-12 22:03:00,2022-05-12 19:14:00,Only 3 channels working
120,2021,6,ESI-2021-06,ESI: Eastern Shore Islands Revision 1 (Current),OPP-MEQ Coastal Monitoring,44.769800,-62.428000,45.700000,Turbulent Research Porpoise - SN40 - None,----,UTC,Porpoise Continuous 29 : 1740,2021-06-24 15:40:00,2021-08-27 17:03:30,"Recorder stopped early, about two weeks before recovery."
134,2021,4,INGO-2021-04,INGO: Ingonish Revision 1 (Current),OPP-MEQ Coastal Monitoring,46.658667,-60.322833,57.200000,Ocean Instruments SoundTrap ST300 - 5955 - None,----,UTC,SoundTrap 30/30 : 1800,2021-04-21 18:15:00,2021-07-01 10:23:00,
135,2021,7,INGO-2021-07,INGO: Ingonish Revision 1 (Current),OPP-MEQ Coastal Monitoring,46.658833,-60.321683,57.800000,Ocean Instruments SoundTrap ST600 - 6085 - None,----,UTC,SoundTrap 30/30 : 1800,2021-07-07 11:38:00,2021-09-01 12:10:00,
136,2021,9,INGO-2021-09,INGO: Ingonish Revision 1 (Current),OPP-MEQ Coastal Monitoring,46.659683,-60.322533,55.000000,Ocean Instruments SoundTrap ST300 - 5955 - None,----,UTC,SoundTrap 30/30 : 1800,2021-09-01 12:15:00,2021-11-10 19:40:00,
137,2021,11,INGO-2021-11,INGO: Ingonish Revision 1 (Current),OPP-MEQ Coastal Monitoring,46.658800,-60.322733,56.100000,Ocean Instruments SoundTrap ST600 - 6492 - None,----,UTC,SoundTrap 30/30 : 1800,2021-11-23 10:00:02,2022-04-22 13:25:00,"Started 2 seconds late as Jess thought this ST had the early start issue, but it may not. Files may therefore be offset by 2 seconds past the hour."
138,2021,9,SBVC1-2021-09,SBVC1: Sambro Bank Vazella Closure Site 1 Revision 1 (Current),Kenchington PAM Landers,43.887170,-63.096000,152.330000,Ocean Instruments SoundTrap ST500 - 5470 - None,----,Local,SoundTrap_RS02 : 900,2021-09-12 11:00:00,2022-05-12 18:10:00,File timestamps incorrect (local time zone used instead of UTC)
156,2021,4,ESI-2021-04,ESI: Eastern Shore Islands Revision 1 (Current),OPP-MEQ Coastal Monitoring,,,,Ocean Instruments SoundTrap ST300 - 5941 - None,----,UTC,SoundTrap 30/30 : 1800,2021-04-16 10:00:02,2021-06-24 15:35:00,
157,2021,9,ESI-2021-09,ESI: Eastern Shore Islands Revision 1 (Current),OPP-MEQ Coastal Monitoring,44.769833,-62.428050,45.700000,Ocean Instruments SoundTrap ST300 - 671137831 - None,----,UTC,SoundTrap 30/30 : 1800,2021-09-15 12:15:00,NA,"High winds delayed recovery from Oct 21 to Oct 23, mooring could not be found"
